,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
35085,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,< 20,16.0,Male,Programmer,Student,Student,1 - 2 years,1.5,Unemployed,,1.53,Android; C++; Java; Python,Android; Hadoop; Node.js; Scala,No,5.0,I'm a student,,,,,,,,Sublime,Once a day,10-20 hours per week,Cats,Windows 10,I don't know,I don't have an account,Once a week,I'm curious,"I'm self-taught; Full-time, intensive program (e.g. ""boot-camp""); Part-time program (e.g. night school)",I am not interested in new job opportunities,Salary; Work/life balance; Flexible work hours,Writing my CV and keeping it updated,30%,Introduce me to the team; Fewer brainteasers,Star Wars,Agree completely,Disagree somewhat,Agree completely,Agree somewhat,Agree completely,Disagree completely,Neutral,Agree completely,Disagree somewhat,Neutral,I don't care about this,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,This is very important,,
35088,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Developer,Student,Student,2 - 5 years,3.5,"Less than $10,000",5000.0,1.53,C++; C#,C#; Ruby,Yes,7.0,I'm a student,,,,,,,,Notepad++; Visual Studio,A couple times a week,5-10 hours per week,Cats,Windows 10,Yes,I'm not sure,Multiple times a day,I'm curious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35089,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Developer; Engineer; Programmer; Expert; Full-stack Developer; Hacker,System administrator,System administrator,6 - 10 years,8.0,"$10,000 - $20,000",15000.0,1.53,Android; Arduino / Raspberry Pi; AngularJS; C; C#; Java; JavaScript; LAMP; MongoDB; Node.js; Perl; PHP; Python; Redis; Ruby; SQL,"C++; Cloud (AWS, GAE, Azure, etc.); Node.js",Yes,7.0,Employed full-time,Manufacturing,"5,000-9,999 employees",5-9 people,1,Part-time remote,I love my job,A friend referred me,Sublime; Android Studio; Eclipse; IntelliJ; PhpStorm; PyCharm; RubyMine,Multiple times a day,10-20 hours per week,Dogs,Ubuntu,Yes,I don't have an account,Once a week,To keep my skills up to date,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Remote working option,Interesting companies rarely respond to me,60%,Show me more live code; Offer remote interviews (e.g. via video conference); Introduce me to the team,Star Wars,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Disagree completely,Agree completely,Neutral,Disagree somewhat,Disagree completely,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,Fragile code base; Poor scheduling; Non-technical management,To get help for my job
35092,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Developer; Engineer; Programmer,,,2 - 5 years,3.5,"Less than $10,000",5000.0,1.53,Arduino / Raspberry Pi; Java; LAMP; Matlab; SQL,Arduino / Raspberry Pi; Java; LAMP; SQL; SQL Server,No,8.0,Employed full-time,Telecommunications,100-499 employees,10-14 people,4,Never,I'm somewhat dissatisfied with my job,Contacted by company (in-house recruiter),IntelliJ,Multiple times a day,2-5 hours per week,Cats,Windows 8,Yes,I don't have an account,Once a week,To keep my skills up to date,B.S. in Computer Science (or related field),I am actively looking for a new job,Tech stack; Company financials; Work/life balance,Writing my CV and keeping it updated,10%,Show me more live code; Be more flexible about interview scheduling; Show me the space in which I will work,Star Wars,Agree somewhat,Neutral,Neutral,Agree somewhat,Agree completely,Disagree completely,Disagree somewhat,Agree somewhat,Neutral,Disagree completely,I don't care about this,This is somewhat important,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,I don't care about this,This is somewhat important,This is somewhat important,Poor scheduling; Poor documentation,To get help for my job
35093,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Programmer,Mobile developer - iOS,"Mobile Dev (Android, iOS, WP & Multi-Platform)",2 - 5 years,3.5,"Less than $10,000",5000.0,1.53,iOS; Node.js; Objective-C; PHP; Swift,Android; Swift,Yes,4.0,Employed part-time,Web Services,10-19 employees,,4,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Xcode,Multiple times a day,2-5 hours per week,Cats,Windows Vista,I don't know,1,Multiple times a day,I learn new technology when my job requires it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35095,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,< 20,16.0,Male,Developer; Programmer,Student,Student,2 - 5 years,3.5,"Less than $10,000",5000.0,1.53,Android; C; C++; C#; Java; JavaScript,Android; C++; iOS; Java; Swift; Windows Phone,Yes,10.0,I'm a student,,,,,,,,Notepad++; Eclipse; NetBeans; Visual Studio; Visual Studio Code,Multiple times a day,20+ hours per week,Dogs,Ubuntu,Yes,2 - 100,Once a week,To build a specific product I have in mind,I'm self-taught,I am actively looking for a new job,Salary; Tech stack; Building something that's innovative,Interesting companies rarely respond to me,20%,Show me more live code; Fewer brainteasers; Prepare me for who I will be speaking with,Star Trek,Disagree completely,Disagree completely,Disagree completely,Disagree completely,Disagree somewhat,Disagree completely,Neutral,Disagree completely,Agree somewhat,Disagree somewhat,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,I don't care about this,I don't care about this,This is very important,Poor scheduling; Unrealistic expectations; Poor documentation,To give help to others; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
35097,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,30-34,32.0,Male,Developer,Desktop developer,Desktop developer,11+ years,13.0,"Less than $10,000",5000.0,1.53,C#; JavaScript; PHP; SQL,C#; PHP,Yes,7.0,Employed full-time,Gaming,"10,000+ employees",10-14 people,0,Part-time remote,I'm neither satisfied nor dissatisfied,LinkedIn,Notepad++; Visual Studio,Multiple times a day,20+ hours per week,Cats,Windows 7,Yes,I don't have an account,I have never been on Stack Overflow. I just love taking surveys.,I want to be a better developer,I'm self-taught; Some college coursework in Computer Science (or related field),I am actively looking for a new job,Salary; Equity; Ability to make or influence important decisions; Health insurance; Industry; Tech stack; Company size; Company stage; Company financials; Work/life balance; Opportunity for advancement; Job title; Office location; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Remote working option; Flexible work hours; Building something that's innovative,The interview process,50%,Introduce me to the team,Star Wars; Star Trek,Agree completely,,,,,Disagree completely,Disagree completely,Neutral,,,,,,This is very important,This is very important,,,,,,,
35099,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,< 20,16.0,Male,Developer; Programmer; Ninja,Back-end web developer,Back-end web developer,2 - 5 years,3.5,"Less than $10,000",5000.0,1.53,Arduino / Raspberry Pi; C; C++; Go; JavaScript; Node.js; PHP; Python; SQL,Android; C; C++; Go; Java; JavaScript; Node.js; PHP; Python; SQL,Yes,6.0,I'm a student,,,,,,,,Notepad++,A couple times a week,5-10 hours per week,Cats,Windows 10,Yes,I don't have an account,Very rarely,I want to be a better developer,I'm self-taught,I am actively looking for a new job,Work/life balance; Quality of colleagues; Company culture,Finding an open job that I'm qualified for,70%,Show me more live code; Introduce me to the team; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Disagree somewhat,Disagree completely,Disagree somewhat,Agree completely,Disagree somewhat,Agree completely,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,I don't care about this,Poor documentation; Interacting with non-technical people; Interacting with stupid people,To get help for my job; To give help to others
35101,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Developer; Programmer,Desktop developer,Desktop developer,2 - 5 years,3.5,"$10,000 - $20,000",15000.0,1.53,C; C++; C#; Python; SQL,Android; C; C++; C#; Java; JavaScript; Python; R; SQL; Windows Phone,No,3.0,Employed part-time,Defense,500-999 employees,1-4 people,0,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Visual Studio,A few times a month,5-10 hours per week,Cats,Windows 8,I don't know,I don't have an account,Once a day,I want to be a better developer,I'm self-taught; Some college coursework in Computer Science (or related field); B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Quality of colleagues; Building something that's innovative,Searching for a job that seems interesting,40%,Introduce me to the boss; Prepare me for who I will be speaking with,,Agree completely,Agree somewhat,Agree somewhat,Neutral,Disagree completely,Disagree completely,Agree somewhat,Agree somewhat,Neutral,Agree somewhat,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,Poor team dynamics; Non-technical management; Interacting with non-technical people,To get help for my job
35103,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Programmer,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35104,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Sr. Developer,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35105,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,30-34,32.0,Male,Manager,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35106,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Programmer,Back-end web developer,Back-end web developer,Less than 1 year,0.5,"Less than $10,000",5000.0,1.53,JavaScript; MongoDB; PHP,Python,No,4.0,I'm a student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35109,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$30,000 - $40,000",35000.0,1.53,"AngularJS; Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js; PHP; Redis; Ruby; SQL",Cordova,Yes,7.0,Self-employed,Gaming,1-4 employees,1-4 people,0,Full-time remote,I love my job,Self-employed - I created my own job,PhpStorm; RubyMine,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,I don't know,I'm not sure,Multiple times a day,I learn new technology when my job requires it,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Opportunity for advancement; Office location; Quality of colleagues; Flexible work hours; Building something that's innovative,,,Offer remote interviews (e.g. via video conference),Star Wars,Agree completely,Neutral,Agree somewhat,Neutral,Disagree completely,Disagree completely,Agree completely,Agree somewhat,Agree somewhat,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Interacting with non-technical people,To get help for my job; To receive help on my personal projects; Beacause I love to learn
35110,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Developer,Full-stack web developer,Full-stack web developer,1 - 2 years,1.5,"Less than $10,000",5000.0,1.53,AngularJS; JavaScript; Node.js; WordPress,AngularJS; CoffeeScript; JavaScript; MongoDB; Node.js; Redis,Yes,5.0,Freelance / Contractor,Not Currently Employed,I am not part of a company,I am not on a team,"I am not on a ""team""",Never,I don't have a job,I don't have a job,Sublime,A few times a month,2-5 hours per week,Cats,Windows 7,I don't know,I don't have an account,Once a week,I want to be a better developer,I'm self-taught,I am actively looking for a new job,Salary; Office location; Building something that's innovative,Finding an open job that I'm qualified for,10%,Show me more live code; Introduce me to the team; Show me the space in which I will work,Star Wars,Agree somewhat,Agree completely,Agree somewhat,Neutral,Agree completely,Disagree completely,Neutral,Agree somewhat,Agree somewhat,Agree somewhat,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,Corporate policies; Non-technical management; Unspecific requirements,To receive help on my personal projects
35111,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Developer; Programmer,Desktop developer,Desktop developer,2 - 5 years,3.5,"Less than $10,000",5000.0,1.53,C++,C++; JavaScript; Python,Yes,5.0,Unemployed,,,,,,,,,"I don't ""check-in or commit code"", but I do put code into production somewhat frequently",20+ hours per week,Other (please specify),Windows 10,Yes,I don't have an account,Multiple times a day,To build a specific product I have in mind,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field),I am actively looking for a new job,Work/life balance; Building something that's significant; Flexible work hours,Interesting companies rarely respond to me,40%,interview_coffee; Show me the space in which I will work,,Agree completely,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree somewhat,Neutral,Agree completely,Disagree somewhat,Agree somewhat,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,I don't care about this,I don't care about this,This is somewhat important,This is somewhat important,Corporate policies; Outdated technologies; Changing requirements,To get help for my job; Beacause I love to learn
35112,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,30-34,32.0,Male,Developer; Engineer; Programmer,Back-end web developer,Back-end web developer,6 - 10 years,8.0,"Less than $10,000",5000.0,1.53,C++; JavaScript; Python,C++; Python,Yes,7.0,Employed full-time,Government,"1,000-4,999 employees",10-14 people,5,I rarely work remotely,I hate my job,Contacted by company (in-house recruiter),PyCharm,Multiple times a day,2-5 hours per week,Cats,Windows 10,Yes,I'm not sure,Multiple times a day,I learn new technology when my job requires it,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Health insurance; Work/life balance; Office location; Company culture; Company reputation,Taking time off work to interview,20%,Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Show me the space in which I will work,Star Wars,Agree completely,Neutral,Agree completely,Neutral,Agree completely,Disagree completely,Disagree completely,Neutral,Agree completely,Disagree completely,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is very important,I don't care about this,I don't care about this,Poor team dynamics; Inefficient development processes; Poor scheduling; Unrealistic expectations; Corporate policies; Outdated technologies; Non-technical management; Changing requirements; Unspecific requirements; Limited resources,To get help for my job; To receive help on my personal projects
35113,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,20-24,22.0,Male,Programmer,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35114,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Female,Developer; Programmer,Desktop developer,Desktop developer,1 - 2 years,1.5,"Less than $10,000",5000.0,1.53,C#; SQL; SQL Server,C#; SQL,Yes,5.0,Employed full-time,Software Products,500-999 employees,1-4 people,0,Part-time remote,I'm somewhat dissatisfied with my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Visual Studio,A couple times a week,10-20 hours per week,Cats,Windows 10,Yes,1,Very rarely,Other (please specify),"Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)",I am actively looking for a new job,Work/life balance; Office location; Company reputation,The interview process,10%,Introduce me to the boss,Star Wars,,,,,,,,,,,,,,,,,,,,,,
35115,Meta Stack Overflow Post,Russian Federation,Eastern Europe,Eastern Europe,25-29,27.0,Male,Sr. Developer; Full-stack Developer,other,,6 - 10 years,8.0,"$30,000 - $40,000",35000.0,1.53,Android; iOS; Java; JavaScript; LAMP; Node.js; PHP; R; ReactJS; Scala; SQL; Swift,Hadoop; iOS; JavaScript; ReactJS; Swift,Yes,9.0,Self-employed,Education,1-4 employees,1-4 people,0,Part-time remote,I love my job,Self-employed - I created my own job,Android Studio; PhpStorm; Xcode,Multiple times a day,5-10 hours per week,Dogs,Mac OS X,Yes,2 - 100,Multiple times a day,I learn new technology when my job requires it,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)","I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Industry; Tech stack; Work/life balance; Quality of colleagues; Building something that's innovative,Taking time off work to interview,90%,Show me the space in which I will work,,Agree completely,Agree completely,Agree completely,Agree somewhat,Neutral,Disagree somewhat,Agree completely,Agree somewhat,Neutral,Neutral,This is very important,This is very important,I don't care about this,This is somewhat important,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Interacting with stupid people; Poor infrastructure or equipment,To get help for my job; To receive help on my personal projects; Beacause I love to learn
